"","i","j","t","prob","collabType"
"200","9","7","2","0.0210104266607417","NATIONAL"
"201","9","8","2","0.00041494390293212","NATIONAL"
"202","9","10","2","0.000247715256231073","NATIONAL"
"203","9","13","2","0.000247715256231073","NATIONAL"
"204","9","22","2","0.000247715256231073","NATIONAL"
"205","9","29","2","0.000247715256231073","NATIONAL"
"206","9","38","2","0.00595940641707541","NATIONAL"
"207","9","39","2","0.00105015187661356","NATIONAL"
"208","9","55","2","0.000247715256231073","NATIONAL"
"209","9","56","2","0.000247715256231073","NATIONAL"
"210","9","59","2","0.000247715256231073","NATIONAL"
"211","9","65","2","0.000247715256231073","NATIONAL"
"212","9","78","2","0.0210104266607417","NATIONAL"
"213","9","81","2","0.000247715256231073","NATIONAL"
"214","9","86","2","0.000247715256231073","NATIONAL"
"215","9","87","2","0.0148177981690796","NATIONAL"
"216","9","100","2","0.000247715256231073","NATIONAL"
"217","10","1","2","0.000247715256231073","NATIONAL"
"218","10","3","2","0.00171798417887524","NATIONAL"
"219","10","4","2","0.000247715256231073","NATIONAL"
"220","10","5","2","0.000247715256231073","NATIONAL"
"221","10","6","2","0.000247715256231073","NATIONAL"
"222","10","7","2","0.000247715256231073","NATIONAL"
"223","10","8","2","0.00041494390293212","NATIONAL"
"224","10","9","2","0.000247715256231073","NATIONAL"
"225","10","13","2","0.000247715256231073","NATIONAL"
"226","10","22","2","0.000247715256231073","NATIONAL"
"227","10","29","2","0.000247715256231073","NATIONAL"
"228","10","38","2","0.00595940641707541","NATIONAL"
"229","10","39","2","0.00105015187661356","NATIONAL"
"230","10","55","2","0.000247715256231073","NATIONAL"
"231","10","56","2","0.000247715256231073","NATIONAL"
"232","10","59","2","0.000247715256231073","NATIONAL"
"233","10","65","2","0.000247715256231073","NATIONAL"
"234","10","78","2","0.000247715256231073","NATIONAL"
"235","10","81","2","0.000247715256231073","NATIONAL"
"236","10","86","2","0.000247715256231073","NATIONAL"
"237","10","87","2","0.0148177981690796","NATIONAL"
"238","10","100","2","0.000247715256231073","NATIONAL"
"239","11","14","2","0.0339472332307681","INTERNATIONAL"
"240","11","17","2","0.000405537408068889","INTERNATIONAL"
"241","11","23","2","0.0339472332307681","INTERNATIONAL"
"242","11","24","2","0.000405537408068889","INTERNATIONAL"
"243","11","25","2","0.0339472332307681","INTERNATIONAL"
"244","11","27","2","0.00175821958945504","INTERNATIONAL"
"245","11","28","2","0.000405537408068889","INTERNATIONAL"
